ADC3,ADC4,ADC5,ADC6,ADC7,Altitude,ColorName,ColorRaw,ColorRgb,Pressure,Temperature,Potentiometer1,Potentiometer2,Light,Dt,MsgType,DeviceName,EventProcessedUtcTime,PartitionId,EventEnqueuedUtcTime,IoTHub
0,0.0019550342130987292,0.0029325513196480938,0.0029325513196480938,0.0029325513196480938,59.17901,DarkSlateBlue,Record,Record,100616.2,22.3558,0.50830889540566959,0.52101661779081132,0.15835777126099707,2016-02-27T18:59:37.5426565Z,ALL,D01,2016-02-27T19:00:02.9784677Z,0,2016-02-27T19:00:03.3350000Z,Record
0.0048875855327468231,0.0039100684261974585,0.0029325513196480938,0.0029325513196480938,0.0029325513196480938,59.1314468,DarkSlateBlue,Record,Record,100616.781,22.3508129,0.509286412512219,0.52101661779081132,0.15835777126099707,2016-02-27T18:59:42.6131412Z,ALL,D01,2016-02-27T19:00:07.9785610Z,0,2016-02-27T19:00:08.3820000Z,Record
0,0.0019550342130987292,0.0019550342130987292,0.0029325513196480938,0.0029325513196480938,58.88836,DarkSlateBlue,Record,Record,100619.695,22.3458252,0.50830889540566959,0.52101661779081132,0.15933528836754643,2016-02-27T18:59:47.6201258Z,ALL,D01,2016-02-27T19:00:12.9726225Z,0,2016-02-27T19:00:13.4450000Z,Record
0.010752688172043012,0.0039100684261974585,0.00097751710654936461,0.00097751710654936461,0,59.36925,DarkSlateBlue,Record,Record,100613.938,22.3508129,0.50830889540566959,0.52101661779081132,0.15835777126099707,2016-02-27T18:59:52.6605196Z,ALL,D01,2016-02-27T19:00:18.0190333Z,0,2016-02-27T19:00:18.4140000Z,Record
0.0019550342130987292,0.0029325513196480938,0.0029325513196480938,0.0029325513196480938,0.0029325513196480938,58.9306335,DarkSlateBlue,Record,Record,100619.195,22.3508129,0.50830889540566959,0.52101661779081132,0.15835777126099707,2016-02-27T18:59:57.7048966Z,ALL,D01,2016-02-27T19:00:22.9965872Z,0,2016-02-27T19:00:23.4450000Z,Record
0.0078201368523949169,0.0039100684261974585,0.0019550342130987292,0.0019550342130987292,0.0019550342130987292,59.05482,DarkSlateBlue,Record,Record,100617.7,22.3458252,0.50830889540566959,0.52101661779081132,0.15835777126099707,2016-02-27T19:00:02.7527186Z,ALL,D01,2016-02-27T19:00:28.0957941Z,0,2016-02-27T19:00:28.5080000Z,Record
0,0.0019550342130987292,0.0019550342130987292,0.0019550342130987292,0.0029325513196480938,59.3137665,DarkSlateBlue,Record,Record,100614.6,22.3458252,0.50830889540566959,0.52101661779081132,0.15933528836754643,2016-02-27T19:00:07.8209916Z,ALL,D01,2016-02-27T19:00:33.1151984Z,0,2016-02-27T19:00:33.5710000Z,Record
0.011730205278592375,0.0048875855327468231,0.0029325513196480938,0.0029325513196480938,0.0029325513196480938,59.0918121,DarkSlateBlue,Record,Record,100617.258,22.3508129,0.50830889540566959,0.52101661779081132,0.15933528836754643,2016-02-27T19:00:12.8723449Z,ALL,D01,2016-02-27T19:00:38.2334260Z,0,2016-02-27T19:00:38.6330000Z,Record
0.00097751710654936461,0.0019550342130987292,0.0029325513196480938,0.0029325513196480938,0.0029325513196480938,59.30584,DarkSlateBlue,Record,Record,100614.711,22.3508129,0.50830889540566959,0.52101661779081132,0.15835777126099707,2016-02-27T19:00:17.9073928Z,ALL,D01,2016-02-27T19:00:43.2028794Z,0,2016-02-27T19:00:43.6650000Z,Record
0.0068426197458455523,0.0039100684261974585,0.0029325513196480938,0.0029325513196480938,0.0029325513196480938,59.38775,DarkSlateBlue,Record,Record,100613.719,22.3508129,0.50830889540566959,0.52101661779081132,0.15835777126099707,2016-02-27T19:00:22.9347656Z,ALL,D01,2016-02-27T19:00:48.2694127Z,0,2016-02-27T19:00:48.6800000Z,Record
0.0078201368523949169,0.0048875855327468231,0.0029325513196480938,0.0029325513196480938,0.0029325513196480938,59.0971,DarkSlateBlue,Record,Record,100617.2,22.3408375,0.50830889540566959,0.52101661779081132,0.15835777126099707,2016-02-27T19:00:27.9584419Z,ALL,D01,2016-02-27T19:00:53.2368437Z,0,2016-02-27T19:00:53.7120000Z,Record
0.010752688172043012,0.0048875855327468231,0.0039100684261974585,0.0029325513196480938,0.0029325513196480938,59.1552277,DarkSlateBlue,Record,Record,100616.516,22.3408375,0.509286412512219,0.52101661779081132,0.15835777126099707,2016-02-27T19:00:32.9816426Z,ALL,D01,2016-02-27T19:00:58.3619426Z,0,2016-02-27T19:00:58.7280000Z,Record
0,0.0019550342130987292,0.0019550342130987292,0.0019550342130987292,0.0019550342130987292,59.1816521,DarkSlateBlue,Record,Record,100616.188,22.3458252,0.50830889540566959,0.52101661779081132,0.15933528836754643,2016-02-27T19:00:38.0374755Z,ALL,D01,2016-02-27T19:01:03.3486800Z,0,2016-02-27T19:01:03.7900000Z,Record
0.010752688172043012,0.0048875855327468231,0.0039100684261974585,0.0029325513196480938,0.0029325513196480938,59.3824654,DarkSlateBlue,Record,Record,100613.781,22.3508129,0.50830889540566959,0.52101661779081132,0.15835777126099707,2016-02-27T19:00:43.0873108Z,ALL,D01,2016-02-27T19:01:08.5987728Z,0,2016-02-27T19:01:08.8380000Z,Record
0.0068426197458455523,0.0039100684261974585,0.0029325513196480938,0.0029325513196480938,0.0029325513196480938,58.97027,DarkSlateBlue,Record,Record,100618.695,22.3508129,0.50830889540566959,0.52101661779081132,0.1573802541544477,2016-02-27T19:00:48.1112536Z,ALL,D01,2016-02-27T19:01:13.3976373Z,0,2016-02-27T19:01:13.8690000Z,Record
